cena,cena_za_metr,metry,liczba_pokoi,pietro,rynek,rok_budowy,material,wojewodztwo,powiat,gmina,miejscowosc,dzielnica,ulica,link
645 000 zł,11944,54.0,2,,wtórny,1998.0,pustak,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Orfeusza,https://www.otodom.pl/pl/oferta/gdansk-osowa-2-pokoje-wysoki-parter-ID4xEry
675 000 zł,10227,66.0,4,2.0,wtórny,2001.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Eurydyki,https://www.otodom.pl/pl/oferta/4-pokoje-cicha-okolica-osowa-ID4xoRc
745 000 zł,11271,66.1,3,1.0,wtórny,2008.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Hery,https://www.otodom.pl/pl/oferta/3-pokoje-duzy-balkon-gdansk-osowa-ogloszenie-prywatne-ID4xCjj
620 000 zł,12917,48.0,2,,wtórny,2017.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Antygony,https://www.otodom.pl/pl/oferta/mieszkanie-48-m-gdansk-ID4xsjw
695 000 zł,10742,64.7,4,2.0,wtórny,2001.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Bliźniąt,https://www.otodom.pl/pl/oferta/4-pokoje-spokojna-okolica-osowa-ID4xkZS
499 000 zł,11089,45.0,2,1.0,wtórny,2000.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Daru Pomorza,https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-45m2-gdansk-osowa-ID4xsnH
639 000 zł,9103,70.2,4,1.0,pierwotny,2025.0,inny,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Galileusza,https://www.otodom.pl/pl/oferta/mieszkanie-czteropokojowe-gdansk-osowa-ID4xvxP
669 000 zł,12616,53.03,2,1.0,wtórny,2012.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Marsa,https://www.otodom.pl/pl/oferta/53m2-2-pokoje-narozne-sloneczne-2-balkony-garaz-osowa-gdansk-ID4xJFK
560 196 zł,10800,51.87,3,,pierwotny,2026.0,pustak,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,nan,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-z-ogrodem-w-gdansku-osowie-ID4tZsJ
680 000 zł,10510,64.7,4,2.0,wtórny,2001.0,cegła,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Bliźniąt,https://www.otodom.pl/pl/oferta/4-pokoje-balkon-do-wprowadzenia-gdansk-osowa-ID4xkSj
695 000 zł,10742,64.7,4,2.0,wtórny,2001.0,silikat,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Bliźniąt,https://www.otodom.pl/pl/oferta/idealne-dla-rodzin-i-nie-tylko-4-pokoje-osowa-ID4xmcn
895 000 zł,11933,75.0,3,2.0,wtórny,,pustak,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Junony,https://www.otodom.pl/pl/oferta/opcja-4-pokoje-mieszkanie-wysoki-standard-centrum-osowy-ID4xGUT
695 000 zł,11049,62.9,3,1.0,wtórny,,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Wacława Balcerskiego,https://www.otodom.pl/pl/oferta/1-pietro-dwa-balkony-idealny-rozklad-ID4x4IT
670 000 zł,13207,50.73,2,,wtórny,2010.0,cegła,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Jednorożca,https://www.otodom.pl/pl/oferta/mieszkanie-50-73m2-z-2010r-na-parterze-ID4xr27
745 000 zł,11271,66.1,3,1.0,wtórny,2008.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,Hery,https://www.otodom.pl/pl/oferta/3-pokoje-duzy-balkon-winda-blisko-szkola-osowa-ID4xD1U
560 000 zł,10796,51.87,3,,pierwotny,2026.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,nan,https://www.otodom.pl/pl/oferta/ogrod-88m2-trojstronne-bez-prowizji-0-pcc-ID4xE9d
575 456 zł,9800,58.72,3,,pierwotny,2026.0,pustak,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,nan,https://www.otodom.pl/pl/oferta/mieszkanie-przystosowane-dla-niepelnosprawnych-ID4vAtS
575 000 zł,9792,58.72,3,,pierwotny,2026.0,nan,Pomorskie,Gdańsk,Gdańsk,Gdańsk,Gdańsk,nan,https://www.otodom.pl/pl/oferta/duzy-ogrodek-miejsce-postojowe-bez-prowizji-ID4xE9b
